Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
25/05/10 5:28,VR2W-104851,A69-9002-2116,,,17,ADC,,,
25/05/10 7:11,VR2W-104851,A69-9002-2116,,,7,ADC,,,
25/05/10 7:13,VR2W-104851,A69-9002-2116,,,4,ADC,,,
25/05/10 7:15,VR2W-104851,A69-9002-2116,,,4,ADC,,,
25/05/10 7:17,VR2W-104851,A69-9002-2116,,,4,ADC,,,
25/05/10 7:19,VR2W-104851,A69-9002-2116,,,6,ADC,,,
25/05/10 7:20,VR2W-104851,A69-9002-2116,,,7,ADC,,,
25/05/10 7:21,VR2W-104851,A69-9002-2116,,,9,ADC,,,
25/05/10 8:56,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 8:57,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 8:58,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 8:59,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 9:01,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 9:05,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 9:08,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 9:13,VR2W-104844,A69-9002-2116,,,12,ADC,,,
25/05/10 9:16,VR2W-104856,A69-9002-2116,,,5,ADC,,,
25/05/10 10:27,VR2W-104844,A69-9002-2116,,,18,ADC,,,
25/05/10 10:29,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 10:32,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 10:34,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 10:36,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 10:41,VR2W-104844,A69-9002-2116,,,16,ADC,,,
25/05/10 14:03,VR2W-104844,A69-9002-2116,,,12,ADC,,,
25/05/10 14:08,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 14:10,VR2W-104844,A69-9002-2116,,,17,ADC,,,
25/05/10 14:11,VR2W-104844,A69-9002-2116,,,17,ADC,,,
